temperature,timestamp
"483,37,14;230,37,20;484,36,13;487,38,15;124,36,14;3912,36,14;",2015-03-04T20:56:25.938Z
"124,36,14;484,36,13;481,36,13;482,38,16;486,37,12;",2015-03-04T20:55:49.906Z
"481,36,13;482,37,17;486,37,12;485,37,17;483,37,14;230,37,20;",2015-03-04T20:46:01.490Z
"482,37,17;481,36,13;486,37,12;485,37,17;483,37,14;230,37,20;",2015-03-04T20:45:40.762Z
"487,38,15;484,36,13;3912,36,14;124,36,14;",2015-03-04T20:45:02.707Z
"230,37,20;487,38,15;484,36,14;124,36,14;3912,36,14;481,36,13;482,37,17;486,37,12;485,37,17;",2015-03-04T20:35:12.297Z
"230,37,20;484,36,14;487,38,15;124,36,14;3912,36,14;482,37,17;481,36,13;485,37,17;486,37,12;",2015-03-04T20:34:52.475Z
"482,37,17;486,37,12;485,37,17;230,37,20;483,37,14;",2015-03-04T20:34:16.099Z
"485,37,17;486,37,12;230,37,20;483,37,14;487,38,15;3912,36,14;484,36,13;124,36,14;",2015-03-04T20:24:25.483Z
"485,37,17;486,37,12;483,37,14;230,37,20;487,38,15;484,36,13;3912,36,14;124,36,14;",2015-03-04T20:24:05.463Z
"124,36,14;3912,36,14;484,36,13;481,36,13;482,37,17;486,37,12;",2015-03-04T20:23:28.727Z
"481,36,13;482,37,17;486,37,12;485,37,17;483,37,14;230,37,20;",2015-03-04T20:13:40.723Z
"481,36,13;486,37,12;485,37,17;483,37,14;230,37,20;",2015-03-04T20:13:21.101Z
"487,38,16;484,36,13;3912,36,14;124,36,14;",2015-03-04T20:12:42.696Z
"481,36,13;482,37,17;486,37,12;485,37,17;483,37,14;230,37,20;",2015-03-04T20:03:01.384Z
"481,36,13;482,37,17;486,37,12;485,37,17;230,37,20;483,37,14;",2015-03-04T20:02:40.924Z
"230,37,20;487,38,15;484,36,13;3912,36,14;124,36,14;",2015-03-04T20:02:02.961Z
"481,36,13;482,37,17;486,37,12;485,37,17;483,37,14;230,37,20;487,38,16;484,36,14;",2015-03-04T19:52:21.450Z
"481,36,13;482,37,17;485,37,17;486,37,12;230,37,20;487,38,16;",2015-03-04T19:52:01.392Z
"487,38,16;484,36,14;3912,36,14;124,36,14;",2015-03-04T19:51:24.012Z
"483,37,14;487,38,16;484,36,13;3912,36,14;124,36,14;481,36,14;482,37,17;486,37,12;485,37,17;",2015-03-04T19:41:30.890Z
"483,37,14;230,37,20;487,38,16;484,36,14;3912,36,14;124,36,14;481,36,14;482,37,17;486,37,12;",2015-03-04T19:41:11.026Z
"481,36,13;482,37,17;486,37,12;485,37,17;483,37,14;",2015-03-04T19:40:32.949Z
"230,37,20;483,37,14;487,38,15;484,36,13;3912,36,14;124,36,14;481,36,13;482,38,16;486,37,12;485,37,17;",2015-03-04T19:30:50.611Z
"483,37,14;230,37,20;487,38,15;484,36,13;3912,36,14;124,36,14;481,36,13;482,37,17;486,37,12;",2015-03-04T19:30:30.859Z
"482,37,17;486,37,12;485,37,17;483,37,14;",2015-03-04T19:29:52.585Z
"481,36,13;482,37,17;486,37,12;485,37,17;483,37,14;230,37,20;487,38,16;484,36,14;3912,36,14;",2015-03-04T19:20:01.763Z
"482,37,17;481,36,13;486,37,12;485,37,17;483,37,14;230,37,20;487,38,16;484,36,14;",2015-03-04T19:19:41.958Z
